Optical_Path_Difference (cm),"Intencity, a.u."
-0.2040278,-0.00126
-0.2038889,-0.000931
-0.20375,-0.000323
-0.2036111,0.000369991
-0.2034722,0.000138129
-0.2033333,-0.000227
-0.2031944,-0.000507
-0.2030556,0.000230069
-0.2029167,0.00107571
-0.2027778,0.001773382
-0.2026389,0.00122636
-0.2025,0.000252569
-0.2023611,-0.000964
-0.2022222,-0.00126
-0.2020833,-0.00113
-0.2019444,-0.00051
-0.2018056,-0.000447
-0.2016667,-0.000433
-0.2015278,-0.000562
-0.2013889,0.00015452
-0.20125,0.001169587
-0.2011111,0.002345885
-0.2009722,0.002448107
-0.2008333,0.00193506
-0.2006944,0.000720019
-0.2005556,-0.0000884
-0.2004167,-0.000706
-0.2002778,-0.000832
-0.2001389,-0.00131
-0.2,-0.00176
-0.1998611,-0.0024
-0.1997222,-0.00221
-0.1995833,-0.00148
-0.1994444,3.87378E-05
-0.1993056,0.001163626
-0.1991667,0.001914049
-0.1990278,0.001760269
-0.1988889,0.001525576
-0.19875,0.001034433
-0.1986111,0.000839526
-0.1984722,0.000178511
-0.1983333,-0.000556
-0.1981944,-0.00177
-0.1980556,-0.00249
-0.1979167,-0.00273
-0.1977778,-0.00182
-0.1976389,-0.000643
-0.1975,0.0007154
-0.1973611,0.001321579
-0.1972222,0.001768018
-0.1970833,0.00180229
-0.1969444,0.002146358
-0.1968056,0.002117003
-0.1966667,0.001945788
-0.1965278,0.000881548
-0.1963889,-0.000308
-0.19625,-0.00162
-0.1961111,-0.00198
-0.1959722,-0.00183
-0.1958333,-0.00108
-0.1956944,-0.00076
-0.1955556,-0.00047
-0.1954167,-0.000447
-0.1952778,0.000207419
-0.1951389,0.000974829
-0.195,0.001952643
-0.1948611,0.002053524
-0.1947222,0.001580859
-0.1945833,0.000360305
-0.1944444,-0.000566
-0.1943056,-0.00118
-0.1941667,-0.00106
-0.1940278,-0.00122
-0.1938889,-0.00146
-0.19375,-0.00205
-0.1936111,-0.00187
-0.1934722,-0.00116
-0.1933333,0.000353748
-0.1931944,0.001390571
-0.1930556,0.001946682
-0.1929167,0.00152796
-0.1927778,0.001101489
-0.1926389,0.000725234
-0.1925,0.001039947
-0.1923611,0.001008803
-0.1922222,0.000671292
-0.1920833,-0.000538
-0.1919444,-0.00145
-0.1918056,-0.00187
-0.1916667,-0.00114
-0.1915278,-0.000354
-0.1913889,0.000313664
-0.19125,0.000165845
-0.1911111,6.91362E-05
-0.1909722,6.43678E-05
-0.1908333,0.000885422
-0.1906944,0.001588012
-0.1905556,0.001977528
-0.1904167,0.001138145
-0.1902778,-0.0000401
-0.1901389,-0.0012
-0.19,-0.00128
-0.1898611,-0.000983
-0.1897222,-0.000496
-0.1895833,-0.000805
-0.1894444,-0.00115
-0.1893056,-0.0014
-0.1891667,-0.000666
-0.1890278,0.000278796
-0.1888889,0.001298035
-0.18875,0.001252288
-0.1886111,0.000700349
-0.1884722,-0.000216
-0.1883333,-0.000255
-0.1881944,0.000115479
-0.1880556,0.00086754
-0.1879167,0.000775004
-0.1877778,0.000267322
-0.1876389,-0.000646
-0.1875,-0.000698
-0.1873611,-0.000314
-0.1872222,0.000525857
-0.1870833,0.000646854
-0.1869444,0.000356431
-0.1868056,-0.000501
-0.1866667,-0.000663
-0.1865278,-0.000311
-0.1863889,0.000690515
-0.18625,0.001107449
-0.1861111,0.001006568
-0.1859722,0.000108028
-0.1858333,-0.000326
-0.1856944,-0.000368
-0.1855556,0.000303829
-0.1854167,0.000504101
-0.1852778,0.000298316
-0.1851389,-0.000748
-0.185,-0.00144
-0.1848611,-0.00172
-0.1847222,-0.00105
-0.1845833,-0.000477
-0.1844444,-0.0000338
-0.1843056,-0.000329
-0.1841667,-0.00039
-0.1840278,-0.000174
-0.1838889,0.000862623
-0.18375,0.001613492
-0.1836111,0.001913304
-0.1834722,0.001076902
-0.1833333,8.94017E-05
-0.1831944,-0.000862
-0.1830556,-0.000895
-0.1829167,-0.000774
-0.1827778,-0.000475
-0.1826389,-0.000785
-0.1825,-0.000881
-0.1823611,-0.000812
-0.1822222,0.000145877
-0.1820833,0.001122499
-0.1819444,0.001998986
-0.1818056,0.001827324
-0.1816667,0.001284624
-0.1815278,0.000405902
-0.1813889,0.000174189
-0.18125,2.74129E-05
-0.1811111,6.7795E-05
-0.1809722,-0.00055
-0.1808333,-0.00113
-0.1806944,-0.00174
-0.1805556,-0.0015
-0.1804167,-0.000991
-0.1802778,-0.000143
-0.1801389,0.000117416
-0.18,0.000247205
-0.1798611,2.11544E-05
-0.1797222,0.000299657
-0.1795833,0.000565494
-0.1794444,0.000952179
-0.1793056,0.000625248
-0.1791667,0.000114883
-0.1790278,-0.000634
-0.1788889,-0.000721
-0.17875,-0.000616
-0.1786111,-0.000168
-0.1784722,-0.000173
-0.1783333,-0.000172
-0.1781944,-0.000473
-0.1780556,-0.00027
-0.1779167,-0.0000113
-0.1777778,0.000533009
-0.1776389,0.000520641
-0.1775,0.000479067
-0.1773611,0.000200862
-0.1772222,0.000540162
-0.1770833,0.000912244
-0.1769444,0.001468653
-0.1768056,0.001285071
-0.1766667,0.000845934
-0.1765278,-0.0000528
-0.1763889,-0.000503
-0.17625,-0.000954
-0.1761111,-0.00102
-0.1759722,-0.00143
-0.1758333,-0.00161
-0.1756944,-0.00175
-0.1755556,-0.00103
-0.1754167,-0.0000329
-0.1752778,0.001246775
-0.1751389,0.00171944
-0.175,0.001759971
-0.1748611,0.001216526
-0.1747222,0.000984962
-0.1745833,0.000612731
-0.1744444,0.00035196
-0.1743056,-0.000606
-0.1741667,-0.00157
-0.1740278,-0.00258
-0.1738889,-0.00258
-0.17375,-0.002
-0.1736111,-0.000656
-0.1734722,0.000235135
-0.1733333,0.000935043
-0.1731944,0.001165117
-0.1730556,0.001867557
-0.1729167,0.002542729
-0.1727778,0.003166045
-0.1726389,0.002543325
-0.1725,0.001197005
-0.1723611,-0.000717
-0.1722222,-0.00188
-0.1720833,-0.00237
-0.1719444,-0.00193
-0.1718056,-0.00164
-0.1716667,-0.00132
-0.1715278,-0.00128
-0.1713889,-0.000455
-0.17125,0.000810916
-0.1711111,0.002453918
-0.1709722,0.002992446
-0.1708333,0.002455706
-0.1706944,0.000773961
-0.1705556,-0.000496
-0.1704167,-0.00123
-0.1702778,-0.00106
-0.1701389,-0.00116
-0.17,-0.00143
-0.1698611,-0.00223
-0.1697222,-0.0022
-0.1695833,-0.00132
-0.1694444,0.000389958
-0.1693056,0.001752222
-0.1691667,0.002230401
-0.1690278,0.001322026
-0.1688889,0.000485177
-0.16875,8.31432E-05
-0.1686111,0.000622565
-0.1684722,0.000753696
-0.1683333,0.000388915
-0.1681944,-0.000867
-0.1680556,-0.0017
-0.1679167,-0.00174
-0.1677778,-0.000429
-0.1676389,0.000972445
-0.1675,0.001920903
-0.1673611,0.001462097
-0.1672222,0.000695432
-0.1670833,4.42512E-05
-0.1669444,0.000433172
-0.1668056,0.000782157
-0.1666667,0.000721211
-0.1665278,-0.000554
-0.1663889,-0.00176
-0.16625,-0.00238
-0.1661111,-0.00144
-0.1659722,-0.000105
-0.1658333,0.001179273
-0.1656944,0.001199538
-0.1655556,0.000625397
-0.1654167,-0.000214
-0.1652778,-0.000111
-0.1651389,0.000286097
-0.165,0.000727917
-0.1648611,3.72477E-05
-0.1647222,-0.00104
-0.1645833,-0.00203
-0.1644444,-0.00166
-0.1643056,-0.000671
-0.1641667,0.000606025
-0.1640278,0.000872756
-0.1638889,0.000627185
-0.16375,-0.000034
-0.1636111,5.69172E-05
-0.1634722,0.000535394
-0.1633333,0.001409198
-0.1631944,0.001435424
-0.1630556,0.000900174
-0.1629167,-0.000205
-0.1627778,-0.00055
-0.1626389,-0.000306
-0.1625,0.000532562
-0.1623611,0.000657136
-0.1622222,0.000327671
-0.1620833,-0.000538
-0.1619444,-0.000767
-0.1618056,-0.000688
-0.1616667,-0.0000316
-0.1615278,0.000207121
-0.1613889,0.000240053
-0.16125,-0.000348
-0.1611111,-0.000548
-0.1609722,-0.000414
-0.1608333,0.000480408
-0.1606944,0.001072878
-0.1605556,0.001312638
-0.1604167,0.000680084
-0.1602778,0.000117565
-0.1601389,-0.000534
-0.16,-0.000737
-0.1598611,-0.00121
-0.1597222,-0.00149
-0.1595833,-0.00195
-0.1594444,-0.00189
-0.1593056,-0.00159
-0.1591667,-0.000494
-0.1590278,0.000703479
-0.1588889,0.001993025
-0.15875,0.002545262
-0.1586111,0.002750898
-0.1584722,0.002324427
-0.1583333,0.001860852
-0.1581944,0.000863219
-0.1580556,-0.0000651
-0.1579167,-0.0012
-0.1577778,-0.00178
-0.1576389,-0.00229
-0.1575,-0.00219
-0.1573611,-0.00194
-0.1572222,-0.000966
-0.1570833,6.46658E-05
-0.1569444,0.001333351
-0.1568056,0.001994813
-0.1566667,0.002471501
-0.1565278,0.002224589
-0.1563889,0.001876647
-0.15625,0.001078243
-0.1561111,0.000518257
-0.1559722,-0.000403
-0.1558333,-0.0013
-0.1556944,-0.00251
-0.1555556,-0.00311
-0.1554167,-0.00311
-0.1552778,-0.00199
-0.1551389,-0.000806
-0.155,0.000368948
-0.1548611,0.000807191
-0.1547222,0.001195962
-0.1545833,0.0013183
-0.1544444,0.001851762
-0.1543056,0.00204056
-0.1541667,0.001931036
-0.1540278,0.000802571
-0.1538889,-0.000422
-0.15375,-0.00148
-0.1536111,-0.00132
-0.1534722,-0.000781
-0.1533333,-0.000066
-0.1531944,-0.000282
-0.1530556,-0.000711
-0.1529167,-0.00116
-0.1527778,-0.00054
-0.1526389,0.000450755
-0.1525,0.001645679
-0.1523611,0.001761312
-0.1522222,0.001215184
-0.1520833,0.000262106
-0.1519444,0.000217105
-0.1518056,0.000658775
-0.1516667,0.001325453
-0.1515278,0.000827456
-0.1513889,-0.000429
-0.15125,-0.00208
-0.1511111,-0.00258
-0.1509722,-0.00211
-0.1508333,-0.000737
-0.1506944,-0.0000945
-0.1505556,-0.000184
-0.1504167,-0.00103
-0.1502778,-0.00105
-0.1501389,-0.000146
-0.15,0.001605893
-0.1498611,0.002378816
-0.1497222,0.00204354
-0.1495833,0.000541354
-0.1494444,-0.000435
-0.1493056,-0.000568
-0.1491667,0.000354195
-0.1490278,0.000717933
-0.1488889,0.000234688
-0.14875,-0.00143
-0.1486111,-0.00252
-0.1484722,-0.00239
-0.1483333,-0.000608
-0.1481944,0.001102681
-0.1480556,0.001956517
-0.1479167,0.001252586
-0.1477778,0.000533009
-0.1476389,0.000428254
-0.1475,0.001510376
-0.1473611,0.002276594
-0.1472222,0.002145762
-0.1470833,0.000364328
-0.1469444,-0.0016
-0.1468056,-0.00285
-0.1466667,-0.00231
-0.1465278,-0.00116
-0.1463889,-0.000244
-0.14625,-0.000818
-0.1461111,-0.00164
-0.1459722,-0.00189
-0.1458333,-0.000407
-0.1456944,0.001493538
-0.1455556,0.002908553
-0.1454167,0.002485956
-0.1452778,0.00118121
-0.1451389,-0.000329
-0.145,-0.000644
-0.1448611,-0.000366
-0.1447222,4.46982E-05
-0.1445833,-0.000793
-0.1444444,-0.00212
-0.1443056,-0.00321
-0.1441667,-0.00244
-0.1440278,-0.000426
-0.1438889,0.001985724
-0.14375,0.002953107
-0.1436111,0.002750302
-0.1434722,0.001658494
-0.1433333,0.001211012
-0.1431944,0.001180763
-0.1430556,0.001427526
-0.1429167,0.000611687
-0.1427778,-0.000935
-0.1426389,-0.00288
-0.1425,-0.00345
-0.1423611,-0.00264
-0.1422222,-0.000621
-0.1420833,0.000796909
-0.1419444,0.001386548
-0.1418056,0.000945026
-0.1416667,0.000858153
-0.1415278,0.001116688
-0.1413889,0.001875008
-0.14125,0.001708711
-0.1411111,0.000654156
-0.1409722,-0.00142
-0.1408333,-0.00293
-0.1406944,-0.00352
-0.1405556,-0.00255
-0.1404167,-0.00136
-0.1402778,-0.000274
-0.1401389,2.69659E-05
-0.14,0.000548805
-0.1398611,0.001309807
-0.1397222,0.002684737
-0.1395833,0.003371979
-0.1394444,0.003105099
-0.1393056,0.001351232
-0.1391667,-0.000618
-0.1390278,-0.00227
-0.1388889,-0.0026
-0.13875,-0.00232
-0.1386111,-0.00157
-0.1384722,-0.00119
-0.1383333,-0.000545
-0.1381944,0.000286693
-0.1380556,0.001883502
-0.1379167,0.0031501
-0.1377778,0.003833617
-0.1376389,0.002992744
-0.1375,0.001448239
-0.1373611,-0.000481
-0.1372222,-0.00155
-0.1370833,-0.0022
-0.1369444,-0.00232
-0.1368056,-0.00268
-0.1366667,-0.00268
-0.1365278,-0.00241
-0.1363889,-0.00111
-0.13625,0.000445242
-0.1361111,0.002109701
-0.1359722,0.002675647
-0.1358333,0.002543772
-0.1356944,0.001601721
-0.1355556,0.000933255
-0.1354167,0.000190432
-0.1352778,-0.000287
-0.1351389,-0.0013
-0.135,-0.00212
-0.1348611,-0.00277
-0.1347222,-0.00225
-0.1345833,-0.00115
-0.1344444,0.000481898
-0.1343056,0.001455838
-0.1341667,0.002047414
-0.1340278,0.001851315
-0.1338889,0.001782323
-0.13375,0.001502926
-0.1336111,0.001347209
-0.1334722,0.000491435
-0.1333333,-0.00047
-0.1331944,-0.0015
-0.1330556,-0.00148
-0.1329167,-0.000912
-0.1327778,0.000206227
-0.1326389,0.000660265
-0.1325,0.000757868
-0.1323611,0.0002329
-0.1322222,3.00951E-05
-0.1320833,-0.000173
-0.1319444,-0.0000781
-0.1318056,-0.000538
-0.1316667,-0.00111
-0.1315278,-0.00182
-0.1313889,-0.00154
-0.13125,-0.00063
-0.1311111,0.000863368
-0.1309722,0.00160783
-0.1308333,0.001765186
-0.1306944,0.001135463
-0.1305556,0.000796015
-0.1304167,0.000419462
-0.1302778,0.000284905
-0.1301389,-0.000585
-0.13,-0.00174
-0.1298611,-0.00311
-0.1297222,-0.00333
-0.1295833,-0.00248
-0.1294444,-0.000503
-0.1293056,0.001195664
-0.1291667,0.002501602
-0.1290278,0.002968902
-0.1288889,0.003553028
-0.12875,0.003885473
-0.1286111,0.004019583
-0.1284722,0.0027506
-0.1283333,0.000472213
-0.1281944,-0.00261
-0.1280556,-0.00481
-0.1279167,-0.00573
-0.1277778,-0.0049
-0.1276389,-0.00355
-0.1275,-0.00185
-0.1273611,-0.000384
-0.1272222,0.001712436
-0.1270833,0.003902907
-0.1269444,0.006031538
-0.1268056,0.006455774
-0.1266667,0.005175317
-0.1265278,0.0021325
-0.1263889,-0.000967
-0.12625,-0.00356
-0.1261111,-0.00481
-0.1259722,-0.00554
-0.1258333,-0.00566
-0.1256944,-0.00555
-0.1255556,-0.00399
-0.1254167,-0.00126
-0.1252778,0.002483124
-0.1251389,0.005373056
-0.125,0.006902958
-0.1248611,0.006407494
-0.1247222,0.005161161
-0.1245833,0.003336514
-0.1244444,0.001734341
-0.1243056,-0.000392
-0.1241667,-0.00275
-0.1240278,-0.00536
-0.1238889,-0.00666
-0.12375,-0.00632
-0.1236111,-0.00387
-0.1234722,-0.00101
-0.1233333,0.001602764
-0.1231944,0.002963538
-0.1230556,0.004015709
-0.1229167,0.004577036
-0.1227778,0.005026455
-0.1226389,0.004263664
-0.1225,0.002498324
-0.1223611,-0.000402
-0.1222222,-0.00293
-0.1220833,-0.0046
-0.1219444,-0.00453
-0.1218056,-0.00381
-0.1216667,-0.00281
-0.1215278,-0.00237
-0.1213889,-0.00154
-0.12125,-0.000311
-0.1211111,0.001662517
-0.1209722,0.002945507
-0.1208333,0.003409977
-0.1206944,0.00258028
-0.1205556,0.001686061
-0.1204167,0.000847275
-0.1202778,0.000793482
-0.1201389,0.000550146
-0.12,0.000152732
-0.1198611,-0.00107
-0.1197222,-0.002
-0.1195833,-0.0024
-0.1194444,-0.00158
-0.1193056,-0.000725
-0.1191667,-0.0000484
-0.1190278,-0.00022
-0.1188889,-0.000118
-0.11875,0.000312174
-0.1186111,0.001538838
-0.1184722,0.002345587
-0.1183333,0.00267073
-0.1181944,0.001946086
-0.1180556,0.001168693
-0.1179167,0.000371928
-0.1177778,0.000206078
